아가, 49, 147
카타, 82, 165
하다, 66, 145
다라, 94, 187
가가, 86, 181
타마, 98, 143
파자, 82, 164
하자, 87, 164
자사, 40, 175
나차, 76, 148
파카, 75, 165
차다, 45, 176
바자, 49, 175
아타, 80, 182
마사, 89, 171
가카, 94, 180
아가, 62, 192
가마, 69, 147
바가, 89, 170
바카, 70, 189
자마, 64, 186
사바, 98, 168
가사, 67, 165
파하, 60, 174
사사, 55, 166
타카, 52, 146
사라, 41, 191
나타, 93, 167
카자, 48, 192
사차, 91, 173
가사, 89, 178
타다, 44, 199
타라, 55, 193
자사, 51, 152
사카, 98, 170
다나, 76, 149
파차, 43, 191
라사, 65, 158
타가, 87, 143
라사, 62, 172
라사, 47, 185
자차, 94, 157
바파, 59, 194
가하, 88, 146
타사, 70, 159
다타, 48, 153
자카, 43, 152
라가, 72, 164
다카, 77, 143
라자, 59, 163
파하, 50, 187
가파, 83, 194
카사, 45, 152
사타, 82, 170
하자, 56, 170
가타, 77, 189
나나, 66, 143
하차, 90, 195
바파, 57, 173
아차, 84, 194
파다, 54, 196
파바, 97, 190
마하, 74, 156
하라, 41, 161
가마, 96, 154
차카, 72, 155
사자, 81, 169
파가, 44, 172
하차, 80, 177
차가, 91, 189
마바, 92, 164
아나, 71, 159
파사, 91, 172
마타, 81, 156
가하, 60, 174
카카, 60, 169
자다, 65, 140
가나, 98, 175
다하, 91, 173
타사, 79, 198
차차, 93, 177
나다, 60, 176
아차, 51, 183
라마, 97, 169
아차, 61, 151
타가, 49, 168
아카, 58, 181
자나, 53, 150
카라, 50, 167
카파, 42, 168
바차, 90, 175
가아, 65, 172
마라, 65, 168
차나, 52, 140
사자, 69, 149
사가, 75, 187
자바, 40, 199
바차, 65, 176
사사, 53, 164
다아, 67, 169
타차, 94, 168
카아, 62, 162
카자, 56, 161
라하, 46, 150
카차, 74, 177
차파, 51, 155
아바, 57, 199
차아, 71, 191
마다, 79, 184
가아, 87, 160
사다, 85, 180
자다, 83, 161
하파, 62, 168
라라, 61, 161
나하, 70, 185
자사, 40, 183
바타, 44, 141
사마, 74, 182
타자, 78, 171
나가, 84, 156
아아, 70, 197
바타, 89, 186
타사, 70, 154
파라, 46, 190
다나, 55, 180
아바, 92, 172
바카, 97, 182
마아, 87, 164
자다, 88, 143
사나, 67, 158
나차, 43, 148
가하, 60, 166
파다, 63, 176
라가, 56, 145
사가, 74, 173
파아, 52, 189
하사, 81, 189
가바, 78, 192
사마, 99, 142
카파, 55, 177
다마, 94, 198
바파, 79, 195
다카, 42, 184
아차, 59, 173
바파, 89, 167
라하, 70, 197
마라, 86, 189
하가, 82, 199
다마, 90, 161
아파, 48, 150
나마, 61, 191
타다, 80, 188
카자, 65, 166
하다, 74, 147
아파, 92, 171
카가, 56, 151
사파, 62, 195
하사, 68, 150
타아, 52, 178
차하, 86, 172
파라, 84, 144
마바, 71, 199
차하, 60, 179
가타, 57, 163
사차, 41, 157
타나, 47, 189
가다, 93, 193
바아, 68, 170
하타, 53, 186
라가, 63, 196
타바, 47, 172
다가, 51, 143
하다, 87, 194
사마, 59, 140
나차, 99, 148
파바, 86, 140
나자, 53, 175
하파, 45, 186
사라, 44, 150
바파, 55, 158
자차, 83, 198
카타, 57, 171
라마, 69, 156
사가, 86, 188
아아, 94, 140
라사, 52, 172
타차, 73, 171
아다, 45, 157
타라, 84, 192
차하, 72, 175
타파, 42, 163
차파, 83, 186
파라, 43, 189
파타, 71, 146
마아, 46, 186
하파, 51, 194
하카, 85, 163
다라, 52, 186
가다, 46, 174
타가, 76, 143
카마, 76, 168
다차, 40, 146
라사, 68, 191
